TKT-Ticket ID,TKT-Created Time,TKT-Title,TKT-Category,TKT-Severity,TKT-Status,TKT-Assigned To User,TKT-Account Name,TKT-Resolution/Change Type,TKT-Root Cause Category,TKT-Solution,TKT-Actual Resolution Date,TKT-Team
4106625,2025-10-07 14:04:54,Failure Notification for Automate Patch Deployment task-Millennium - Auto Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-10 15:28:48,Cloud - Security
4104072,2025-10-06 15:44:01,Failure Notification for Automate Patch Deployment task-KD Corp - Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-10 15:27:37,Cloud - Security
4104070,2025-10-06 15:43:31,Failure Notification for Automate Patch Deployment task-KDR Gold Coast - Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-10 15:27:45,Cloud - Security
4103557,2025-10-06 12:25:34,Failure Notification for Automate Patch Deployment task-Wyvern Health - Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-10 15:28:01,Cloud - Security
4103156,2025-10-06 10:05:04,Failure Notification for Automate Patch Deployment task-IsAlbi - Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-10 15:28:08,Cloud - Security
4103123,2025-10-06 09:54:34,Failure Notification for Automate Patch Deployment task-Claro  - Auto Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-10 15:28:14,Cloud - Security
4102989,2025-10-06 08:57:29,Failure Notification for Automate Patch Deployment task-Country to Coast QLD PHN-Workstation Deployment Policy,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-10 15:28:20,Cloud - Security
4102071,2025-10-05 15:50:51,Failure Notification for Automate Patch Deployment task-BNPHN - Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,"P4H-5CG22100GF - Deployment >2 weeks ago, waiting for more recent deployment
P4H-5CG2248H16 - Deployment >2 weeks ago, waiting for more recent deployment
P4H-5CG3253P0H - Deployment >2 weeks ago, waiting for more recent deployment
P4H-PF2XY4QH - 400009 Defender - Will self-resolve",2025-10-09 11:10:06,Cloud - Security
4101965,2025-10-05 13:27:46,"Failure Notification for Automate Patch Deployment task-AI Topper - Auto Deployment Policy - Workstations AITGUNWS24|AITSYDHOWS25
",Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-10 12:58:14,Cloud - Security
4101916,2025-10-05 12:24:06,Failure Notification for Automate Patch Deployment task-Playgroup Victoria- Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-10 12:58:21,Cloud - Security
4101914,2025-10-05 12:21:54,Failure Notification for Automate Patch Deployment task-MIPS - Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-10 12:58:25,Cloud - Security
4101912,2025-10-05 12:21:34,"Failure Notification for Automate Patch Deployment task-NQPHN - Auto Patch Deployment Policy - Workstations NQPHN-HPZ050|NQPHN-HPZ120|NQPHN-HPZ130|NQPHN-HPZ137|NQPHN-NB040
",Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-10 12:58:31,Cloud - Security
4101909,2025-10-05 12:21:03,Failure Notification for Automate Patch Deployment task-MIPS - Auto Patch Deployment Policy - Servers,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-09 11:04:16,Cloud - Security
4101907,2025-10-05 12:19:19,Failure Notification for Automate Patch Deployment task-FPB - Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-09 11:01:27,Cloud - Security
4101895,2025-10-05 12:01:42,Failure Notification for Automate Patch Deployment task-Fyna Foods - Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-09 11:00:50,Cloud - Security
4101864,2025-10-05 11:11:13,Failure Notification for Automate Patch Deployment task-SSG - Auto Deployment Policy - Workstations DESKTOP-KVUL28T|DESKTOP-T3LTLSF|SSG-5CD324D23H,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-10 12:58:37,Cloud - Security
4101860,2025-10-05 11:03:17,Failure Notification for Automate Patch Deployment task-KD Bus - Auto Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-09 10:59:06,Cloud - Security
4100739,2025-10-04 14:05:59,Failure Notification for Automate Patch Deployment task-Millennium - Auto Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,latest ticket available,2025-10-09 10:47:02,Cloud - Security
4098776,2025-10-03 15:43:34,Failure Notification for Automate Patch Deployment task-KDR Gold Coast - Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-07 16:14:29,Cloud - Security
4098166,2025-10-03 13:04:46,New vulnerabilities notification from Microsoft Defender for Endpoint,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Threat Vulnerabilities,Security,alert only,2025-10-07 16:15:29,Cloud - Security
4098027,2025-10-03 12:24:55,Failure Notification for Automate Patch Deployment task-Wyvern Health - Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-07 16:15:50,Cloud - Security
4097295,2025-10-03 10:04:53,Failure Notification for Automate Patch Deployment task-IsAlbi - Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-07 16:16:56,Cloud - Security
4095086,2025-10-02 15:23:38,Failure Notification for Automate Patch Deployment task-SGS - Auto Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-06 16:20:08,Cloud - Security
4094484,2025-10-02 13:26:49,Failure Notification for Automate Patch Deployment task-AI Topper - Auto Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-06 16:20:11,Cloud - Security
4094186,2025-10-02 12:24:26,Failure Notification for Automate Patch Deployment task-Psychology Melbourne - Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-06 16:20:15,Cloud - Security
4094182,2025-10-02 12:23:40,Failure Notification for Automate Patch Deployment task-Playgroup Victoria- Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-06 16:20:19,Cloud - Security
4094172,2025-10-02 12:21:38,Failure Notification for Automate Patch Deployment task-NQPHN - Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-06 16:20:22,Cloud - Security
4094169,2025-10-02 12:21:23,Failure Notification for Automate Patch Deployment task-MIPS - Auto Patch Deployment Policy - Servers,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-06 16:20:25,Cloud - Security
4094168,2025-10-02 12:21:23,Failure Notification for Automate Patch Deployment task-MIPS - Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-06 16:20:28,Cloud - Security
4094163,2025-10-02 12:20:52,Failure Notification for Automate Patch Deployment task-Marlin Brands - Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-06 16:20:33,Cloud - Security
4094071,2025-10-02 12:01:41,Failure Notification for Automate Patch Deployment task-Fyna Foods - Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-06 16:20:37,Cloud - Security
4093853,2025-10-02 11:12:32,Failure Notification for Automate Patch Deployment task-SSG - Auto Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-06 16:20:41,Cloud - Security
4093822,2025-10-02 11:03:57,Failure Notification for Automate Patch Deployment task-KD Bus - Auto Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-06 16:20:45,Cloud - Security
4093047,2025-10-02 07:56:05,New vulnerabilities notification from Microsoft Defender for Endpoint,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Threat Vulnerabilities,Security,alert only,2025-10-06 13:05:21,Cloud - Security
4092534,2025-10-02 01:14:09,New vulnerabilities notification from Microsoft Defender for Endpoint,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Threat Vulnerabilities,Security,alert only,2025-10-06 13:05:35,Cloud - Security
4090888,2025-10-01 14:05:02,Failure Notification for Automate Patch Deployment task-Millennium - Auto Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-06 09:53:45,Cloud - Security
4090643,2025-10-01 13:09:58,upgrade to windows 10 to windows 11,Support Tickets,Incident,Closed,Lance Letran,Isalbi,Other,--None--,"Tested the device ISALBI-MEL301 for Windows 11 upgrade. The upgrade fails due to hardware incompatibility based on current system specifications. The device does not meet Windows 11 minimum requirements.

Recommended to plan for hardware replacement if Windows 11 is required.",2025-10-06 16:17:26,Cloud - Security
4090392,2025-10-01 12:20:01,[OrroCyber #325029] [Microsoft Sentinel][High] 2885: User account added or removed to built in domain local or global group (Orro),Support Tickets,Incident,Incident Resolved,Lance Letran,Orro Cloud,Configuration,Security,The addition of the Vulnerability Scanning Service Account to the Domain Admins group was performed by a known technician. This was an expected change. No further action required.,2025-10-03 15:34:35,Cloud - Security
4088891,2025-10-01 02:49:25,[OrroCyber #324864] SentinelOne - Possible MFA bombing from Microsoft 2FA notifications. (Orro),Support Tickets,Incident,Closed,Lance Letran,Orro Cloud,Threat Vulnerabilities,Security,"We contacted the user, Neel Hussien, directly on mobile (0405241676) and provided the incident details. The user confirmed that the MFA prompts were initiated by her and are legitimate. No further action is required at this stage.
",2025-10-03 10:33:27,Cloud - Security
4088778,2025-10-01 01:25:47,New vulnerabilities notification from Microsoft Defender for Endpoint,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Threat Vulnerabilities,Security,alert only,2025-10-06 09:54:03,Cloud - Security
4088200,2025-09-30 17:22:09,Another Reported Breach - Cyber Incident P1,Support Tickets,Incident,Wait For Response (customer),Lance Letran,Isalbi,,Security,,,Cloud - Security
4088027,2025-09-30 16:26:10,Mozilla Firefox < 143.0,Support Tickets,Change Request,Incident Resolved,Lance Letran,Keolis Downer,Adobe,Software,The patch is already being deployed through the automated patch deployment policy. Some endpoints are currently offline and will update their status once they come online.,2025-10-03 15:27:02,Cloud - Security
4088021,2025-09-30 16:23:13,Microsoft Edge (Chromium) < 140.0.3485.94 Multiple Vulnerabilities,Support Tickets,Incident,Incident Resolved,Lance Letran,Keolis Downer,Threat Vulnerabilities,Security,The patch is already being deployed through the automated patch deployment policy. Some endpoints are currently offline and will update their status once they come online.,2025-10-03 15:25:23,Cloud - Security
4088019,2025-09-30 16:22:51,Google Chrome < 140.0.7339.185 Multiple Vulnerabilities - KD Bus,Support Tickets,Service Request,Incident Resolved,Lance Letran,Keolis Downer,Patching,Security,The patch is already being deployed through the automated patch deployment policy. Some endpoints are currently offline and will update their status once they come online.,2025-10-03 15:25:21,Cloud - Security
4087999,2025-09-30 16:15:12,KB5065431: Windows 11 version 22H2 /  Windows 11 version 23H2 Security Update (September 2025) - KD Bus,Support Tickets,Service Request,Incident Resolved,Lance Letran,Keolis Downer,Software Install / Uninstall,Software,The patch is already being deployed through the automated patch deployment policy. Some endpoints are currently offline and will update their status once they come online.,2025-10-03 15:24:54,Cloud - Security
4087986,2025-09-30 16:12:21,KB5065429: Windows 10 version 21H2 / Windows 10 Version 22H2 Security Update (September 2025) - KD Bus,Support Tickets,Service Request,Incident Resolved,Lance Letran,Keolis Downer,Patching,Security,The patch is already being deployed through the automated patch deployment policy. Some endpoints are currently offline and will update their status once they come online.,2025-10-03 15:24:51,Cloud - Security
4087933,2025-09-30 15:58:21,KB5065429: Windows 10 version 21H2 / Windows 10 Version 22H2 Security Update (September 2025) - KDGC,Support Tickets,Incident,Incident Resolved,Lance Letran,Keolis Downer,Patching,Security,The patch is already being deployed through the automated patch deployment policy. Some endpoints are currently offline and will update their status once they come online.,2025-10-03 15:24:47,Cloud - Security
4087912,2025-09-30 15:55:37,KB5065426: Windows 11 Version 24H2 / Windows Server 2025 Security Update (September 2025) - KDGC,Support Tickets,Incident,Incident Resolved,Lance Letran,Keolis Downer,Patching,Security,The patch is already being deployed through the automated patch deployment policy. Some endpoints are currently offline and will update their status once they come online.,2025-10-03 15:24:43,Cloud - Security
4087897,2025-09-30 15:52:58,Google Chrome < 140.0.7339.207 Multiple Vulnerabilities - KDGC,Support Tickets,Incident,Incident Resolved,Lance Letran,Keolis Downer,Patching,Security,The patch is already being deployed through the automated patch deployment policy. Some endpoints are currently offline and will update their status once they come online.,2025-10-03 15:24:39,Cloud - Security
4087880,2025-09-30 15:49:57,Microsoft Edge (Chromium) < 140.0.3485.94 Multiple Vulnerabilities - KDGC,Support Tickets,Incident,Incident Resolved,Lance Letran,Keolis Downer,Threat Vulnerabilities,Security,The patch is already being deployed through the automated patch deployment policy. Some endpoints are currently offline and will update their status once they come online.,2025-10-03 15:23:15,Cloud - Security
4087857,2025-09-30 15:43:27,Failure Notification for Automate Patch Deployment task-KDR Gold Coast - Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-03 15:49:26,Cloud - Security
4087856,2025-09-30 15:43:27,Failure Notification for Automate Patch Deployment task-KD Corp - Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-03 15:49:38,Cloud - Security
4087851,2025-09-30 15:41:32,KB5065429: Windows 10 version 21H2 / Windows 10 Version 22H2 Security Update (September 2025),Support Tickets,Service Request,Incident Resolved,Lance Letran,Keolis Downer,Software Install / Uninstall,Security,The patch is already being deployed through the automated patch deployment policy. Some endpoints are currently offline and will update their status once they come online.,2025-10-03 15:23:05,Cloud - Security
4087846,2025-09-30 15:40:16,KB5065426: Windows 11 Version 24H2 / Windows Server 2025 Security Update (September 2025),Support Tickets,Service Request,Incident Resolved,Lance Letran,Keolis Downer,Patching,Security,The patch is already being deployed through the automated patch deployment policy. Some endpoints are currently offline and will update their status once they come online.,2025-10-03 15:22:05,Cloud - Security
4087820,2025-09-30 15:34:17,Google Chrome < 140.0.7339.185 Multiple Vulnerabilities,Support Tickets,Incident,Incident Resolved,Lance Letran,Keolis Downer,Threat Vulnerabilities,Security,The patch is already being deployed through the automated patch deployment policy. Some endpoints are currently offline and will update their status once they come online.,2025-10-03 15:21:48,Cloud - Security
4087801,2025-09-30 15:31:38,Microsoft Edge (Chromium) < 140.0.3485.94 Multiple Vulnerabilities,Support Tickets,Service Request,Incident Resolved,Lance Letran,Keolis Downer,Microsoft Office Applications,Software,The patch is already being deployed through the automated patch deployment policy. Some endpoints are currently offline and will update their status once they come online.,2025-10-03 15:20:00,Cloud - Security
4087309,2025-09-30 13:38:08,[OrroCyber #324834] Advisory - Cisco Firewall RCE Vulnerabilities - September 2025,Support Tickets,Incident,Incident Resolved,Lance Letran,Orro Cloud,Threat Vulnerabilities,Security,advisory only,2025-10-03 15:52:09,Cloud - Security
4087306,2025-09-30 13:38:08,[OrroCyber #324815] Advisory - Cisco Firewall RCE Vulnerabilities - September 2025,Support Tickets,Incident,Incident Resolved,Lance Letran,Orro Cloud,Phishing & Spam,Security,advisory only,2025-10-03 15:52:17,Cloud - Security
4087053,2025-09-30 12:25:01,Failure Notification for Automate Patch Deployment task-Wyvern Health - Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-03 15:53:06,Cloud - Security
4086615,2025-09-30 10:59:16,Cyber Incident Actions - Orro P1 ,Support Tickets,Incident,Wait For Response (customer),Lance Letran,Isalbi,,Security,,,Cloud - Security
4086356,2025-09-30 09:54:50,Failure Notification for Automate Patch Deployment task-Claro  - Auto Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-03 15:53:18,Cloud - Security
4084706,2025-09-29 15:50:39,Failure Notification for Automate Patch Deployment task-BNPHN - Auto Patch Deployment Policy - Servers,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-03 12:57:42,Cloud - Security
4083882,2025-09-29 12:21:58,Failure Notification for Automate Patch Deployment task-MIPS - Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-03 12:57:29,Cloud - Security
4083879,2025-09-29 12:21:46,Failure Notification for Automate Patch Deployment task-NQPHN - Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-03 12:57:17,Cloud - Security
4083877,2025-09-29 12:21:16,Failure Notification for Automate Patch Deployment task-MIPS - Auto Patch Deployment Policy - Servers,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-03 12:56:56,Cloud - Security
4083575,2025-09-29 11:11:26,Failure Notification for Automate Patch Deployment task-SSG - Auto Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-03 12:56:42,Cloud - Security
4083530,2025-09-29 11:03:14,Failure Notification for Automate Patch Deployment task-KD Bus - Auto Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-03 12:56:31,Cloud - Security
4081974,2025-09-28 14:06:05,Failure Notification for Automate Patch Deployment task-Millennium - Auto Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-03 12:52:03,Cloud - Security
4080707,2025-09-27 12:29:29,Failure Notification for Automate Patch Deployment task-Wyvern Health - Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-02 13:06:35,Cloud - Security
4080567,2025-09-27 10:04:51,Failure Notification for Automate Patch Deployment task-IsAlbi - Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,"
patch done  ",2025-10-02 13:12:53,Cloud - Security
4080554,2025-09-27 09:55:06,Failure Notification for Automate Patch Deployment task-Claro  - Auto Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,"
patch done  ",2025-10-02 13:12:48,Cloud - Security
4080470,2025-09-27 08:57:45,Failure Notification for Automate Patch Deployment task-Country to Coast QLD PHN-Workstation Deployment Policy,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,"
patch done  ",2025-10-02 13:12:44,Cloud - Security
4079111,2025-09-26 13:20:11,New vulnerabilities notification from Microsoft Defender for Endpoint,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Threat Vulnerabilities,Security,alert only,2025-10-01 16:49:25,Cloud - Security
4079002,2025-09-26 12:24:51,"Failure Notification for Automate Patch Deployment task-Playgroup Victoria- Auto Patch Deployment Policy - Workstations PGV-LT-041-HP|PGV-LT-043-HP|PGV-LT-046-HP|PGV-LT-047-HP
",Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-01 16:49:50,Cloud - Security
4079000,2025-09-26 12:24:25,Failure Notification for Automate Patch Deployment task-PacOps - Auto Patch Deployment Policy - Workstations PO-LT-002,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-01 16:50:13,Cloud - Security
4078992,2025-09-26 12:22:22,Failure Notification for Automate Patch Deployment task-MIPS - Auto Patch Deployment Policy - Servers,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-09-30 10:13:54,Cloud - Security
4078991,2025-09-26 12:22:20,Failure Notification for Automate Patch Deployment task-NQPHN - Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-09-30 10:29:29,Cloud - Security
4078989,2025-09-26 12:22:00,Failure Notification for Automate Patch Deployment task-MIPS - Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-09-30 10:30:39,Cloud - Security
4078949,2025-09-26 12:03:15,Failure Notification for Automate Patch Deployment task-Fyna Foods - Auto Patch Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-01 16:50:31,Cloud - Security
4078689,2025-09-26 11:11:25,Failure Notification for Automate Patch Deployment task-SSG - Auto Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-01 16:51:14,Cloud - Security
4078639,2025-09-26 11:02:52,Failure Notification for Automate Patch Deployment task-KD Bus - Auto Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-10-01 16:51:26,Cloud - Security
4075706,2025-09-25 14:05:10,Failure Notification for Automate Patch Deployment task-Millennium - Auto Deployment Policy - Workstations,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Patching,Security,patch done,2025-09-29 16:38:40,Cloud - Security
4073353,2025-09-25 09:59:08,[OrroCyber #323643] SentinelOne - Azure SourceAnchor User Attribute Modified (Orro),Support Tickets,Incident,Incident Resolved,Lance Letran,Orro Cloud,Threat Vulnerabilities,Security,This activity was confirmed to be performed by a known IT technician and is expected. No further action is required.,2025-09-29 16:35:44,Cloud - Security
4070688,2025-09-24 18:01:03,[OrroCyber #323895] [Microsoft Sentinel][Medium] 2864: TI Map Domain Entity to DeviceNetworkEvents: creative-sb1.com (Orro),Support Tickets,Incident,Incident Resolved,Lance Letran,Orro Cloud,Threat Vulnerabilities,Security,"The domains have been blocked upstream, Defender scans have been run on the affected hosts, and the users have been notified. No suspicious downloads or file creations were observed.",2025-09-29 09:10:40,Cloud - Security
4070264,2025-09-24 15:53:04,Vulnerabilities have verified exploit notification from Microsoft Defender for Endpoint,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Threat Vulnerabilities,Security,alert only,2025-09-29 09:14:39,Cloud - Security
4070247,2025-09-24 15:50:15,Vulnerabilities have verified exploit notification from Microsoft Defender for Endpoint,Alert,Alert,Incident Resolved,Lance Letran,Orro Cloud,Threat Vulnerabilities,Security,alert only,2025-09-29 09:14:43,Cloud - Security
